id_pedido,transportadora,valor_frete,cidade_destino,data_postagem,data_previsao_entrega,data_entrega_real,status_pedido,nota_review,comentario_cliente
PED-1215,Loggi,29.82,São Paulo,2025-06-14,2025-06-19,2025-06-19,Entregue,5,"Tudo certo, nota 10!"
PED-1216,FedEx,25.82,Belo Horizonte,2025-06-14,2025-06-22,2025-06-16,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1217,Jadlog,84.12,São Paulo,2025-06-13,2025-06-22,2025-06-25,Entregue,1,Decepcionante do início ao fim.
PED-1218,Correios,24.81,Joinville,2025-06-13,2025-06-18,2025-06-18,Entregue,5,"Tudo certo, nota 10!"
PED-1219,Correios,15.37,Belo Horizonte,2025-06-14,2025-06-20,,Em Trânsito,3,"Produto ok, mas a entrega atrasou um pouco."
PED-1220,Correios,69.24,Curitiba,2025-06-15,2025-06-23,2025-06-22,Entregue,4,"Frete rápido, adorei!"
PED-1221,Correios,21.53,Rio de Janeiro,2025-06-14,2025-06-19,2025-06-17,Entregue,4,"Chegou antes do prazo, excelente!"
PED-1222,Correios,25.93,Joinville,2025-06-15,2025-06-22,2025-06-20,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1223,FedEx,66.19,Belo Horizonte,2025-06-15,2025-06-20,2025-06-18,Entregue,5,"Tudo certo, nota 10!"
PED-1224,Loggi,72.62,São Paulo,2025-06-16,2025-06-23,2025-06-21,Entregue,4,Excelente atendimento e entrega.
PED-1225,FedEx,25.64,São Paulo,2025-06-17,2025-06-27,2025-06-25,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1226,Jadlog,63.48,Curitiba,2025-06-17,2025-06-26,,Cancelado,3,"Razoável, poderia ser melhor."
PED-1227,Loggi,28.34,Florianópolis,2025-06-18,2025-06-28,,Cancelado,2,Atrasou e a caixa veio amassada.
PED-1228,Jadlog,28.69,Manaus,2025-06-18,2025-06-26,2025-06-26,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1229,Jadlog,48.2,Belo Horizonte,2025-06-18,2025-06-26,2025-06-25,Entregue,4,"Produto top, recomendo!"
PED-1230,Correios,49.79,Curitiba,2025-06-18,2025-06-27,2025-06-26,Entregue,4,Ótimo custo-benefício!
PED-1231,FedEx,59.1,Belém,2025-06-19,2025-06-26,2025-06-24,Entregue,4,"Embalagem perfeita, produto intacto."
PED-1232,Correios,67.77,São Paulo,2025-06-20,2025-06-27,2025-06-30,Entregue,1,Atrasou e a caixa veio amassada.
PED-1233,FedEx,20.66,Florianópolis,2025-06-20,2025-06-25,2025-06-24,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1234,FedEx,26.15,Campinas,2025-06-22,2025-06-27,,Extraviado,3,Esperava mais pela qualidade do produto.
PED-1235,Loggi,84.93,Rio de Janeiro,2025-06-21,2025-06-30,2025-06-28,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1236,FedEx,70.59,São Paulo,2025-06-22,2025-06-30,2025-07-02,Entregue,1,Nunca mais compro aqui.
PED-1237,Jadlog,27.29,Curitiba,2025-06-23,2025-06-28,2025-06-26,Entregue,5,"Produto top, recomendo!"
PED-1238,FedEx,62.96,São Paulo,2025-06-23,2025-06-29,2025-06-25,Entregue,4,"Muito bom, sem reclamações."
PED-1239,FedEx,133.12,São Paulo,2025-06-22,2025-06-29,2025-06-28,Entregue,4,"Produto original, vendedor confiável."
PED-1240,FedEx,21.14,Campinas,2025-06-22,2025-06-27,,Em Trânsito,2,Frete caro e entrega lenta.
PED-1241,Correios,45.51,Curitiba,2025-06-25,2025-06-30,2025-06-28,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1242,FedEx,100.99,Rio de Janeiro,2025-06-24,2025-07-01,2025-06-30,Entregue,5,Superou minhas expectativas!
PED-1243,Jadlog,71.99,Florianópolis,2025-06-24,2025-06-29,2025-06-26,Entregue,4,Parabéns pela agilidade!
PED-1244,Jadlog,52.44,São Paulo,2025-06-25,2025-07-01,,Extraviado,1,"Embalagem danificada, produto riscado."
PED-1245,Correios,107.37,Curitiba,2025-06-26,2025-07-01,2025-06-28,Entregue,4,"Tudo certo, nota 10!"
PED-1246,Jadlog,108.98,Joinville,2025-06-27,2025-07-06,2025-07-10,Entregue,1,Decepcionante do início ao fim.
PED-1247,Jadlog,72.52,Curitiba,2025-06-26,2025-07-05,2025-07-04,Entregue,5,Ótimo custo-benefício!
PED-1248,Loggi,147.59,São Paulo,2025-06-26,2025-07-04,2025-06-28,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1249,FedEx,81.45,Florianópolis,2025-06-27,2025-07-07,,Cancelado,2,Frete caro e entrega lenta.
PED-1250,Jadlog,123.49,São Paulo,2025-06-28,2025-07-06,,Em Trânsito,3,"Nada de especial, cumpriu o básico."
PED-1251,Loggi,24.42,Manaus,2025-06-29,2025-07-06,2025-07-04,Entregue,4,"Produto top, recomendo!"
PED-1252,Correios,27.69,Curitiba,2025-06-30,2025-07-06,2025-07-02,Entregue,5,"Tudo certo, nota 10!"
PED-1253,Correios,26.41,Recife,2025-06-29,2025-07-06,2025-07-04,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1254,Correios,89.68,Belo Horizonte,2025-06-29,2025-07-04,2025-07-01,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1255,Jadlog,46.76,São Paulo,2025-06-29,2025-07-04,2025-07-02,Entregue,4,"Frete rápido, adorei!"
PED-1256,Jadlog,130.64,São Paulo,2025-06-30,2025-07-09,2025-07-02,Entregue,5,"Muito bom, sem reclamações."
PED-1257,Loggi,43.02,Porto Alegre,2025-06-30,2025-07-09,2025-07-13,Entregue,1,Produto não era o que esperava.
PED-1258,FedEx,143.62,São Paulo,2025-06-30,2025-07-08,2025-07-05,Entregue,4,"Chegou antes do prazo, excelente!"
PED-1259,Jadlog,27.92,Curitiba,2025-06-30,2025-07-10,2025-07-12,Entregue,1,Produto não era o que esperava.
PED-1260,Correios,28.71,Belo Horizonte,2025-07-01,2025-07-10,2025-07-08,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1261,Correios,65.15,São Paulo,2025-07-01,2025-07-11,2025-07-10,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1262,Loggi,135.66,São Paulo,2025-07-01,2025-07-06,2025-07-05,Entregue,5,"Muito bom, sem reclamações."
PED-1263,Correios,31.51,Curitiba,2025-07-02,2025-07-08,,Extraviado,3,Embalagem poderia ser melhor.
PED-1264,Correios,22.65,Porto Alegre,2025-07-03,2025-07-09,2025-07-05,Entregue,4,"Tudo certo, nota 10!"
PED-1265,Correios,34.69,Florianópolis,2025-07-03,2025-07-09,,Em Trânsito,3,Esperava mais pela qualidade do produto.
PED-1266,Jadlog,147.9,Rio de Janeiro,2025-07-03,2025-07-09,2025-07-08,Entregue,4,"Produto top, recomendo!"
PED-1267,Loggi,22.22,São Paulo,2025-07-04,2025-07-10,2025-07-10,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1268,FedEx,24.19,Joinville,2025-07-03,2025-07-13,2025-07-11,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1269,Correios,17.83,Curitiba,2025-07-03,2025-07-12,2025-07-09,Entregue,4,"Tudo certo, nota 10!"
PED-1270,FedEx,28.18,Curitiba,2025-07-04,2025-07-12,,Extraviado,1,Produto não era o que esperava.
PED-1271,Jadlog,123.85,Joinville,2025-07-04,2025-07-11,2025-07-09,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1272,Jadlog,127.07,Belo Horizonte,2025-07-04,2025-07-10,2025-07-14,Entregue,2,Decepcionante do início ao fim.
PED-1273,Correios,28.65,Campinas,2025-07-04,2025-07-12,2025-07-07,Entregue,4,"Frete rápido, adorei!"
PED-1274,Loggi,35.74,Joinville,2025-07-04,2025-07-12,2025-07-12,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1275,Correios,104.57,Fortaleza,2025-07-04,2025-07-11,2025-07-07,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1276,FedEx,41.09,Belo Horizonte,2025-07-05,2025-07-14,2025-07-08,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1277,Jadlog,59.68,Manaus,2025-07-05,2025-07-13,2025-07-09,Entregue,4,"Frete rápido, adorei!"
PED-1278,Loggi,28.3,Campinas,2025-07-06,2025-07-16,2025-07-10,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1279,FedEx,138.47,Rio de Janeiro,2025-07-06,2025-07-16,2025-07-17,Entregue,1,Frete caro e entrega lenta.
PED-1280,FedEx,87.22,Curitiba,2025-07-06,2025-07-12,2025-07-11,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1281,FedEx,17.81,Belo Horizonte,2025-07-08,2025-07-15,2025-07-12,Entregue,4,Superou minhas expectativas!
PED-1282,Loggi,67.97,Curitiba,2025-07-08,2025-07-14,2025-07-14,Entregue,5,Excelente atendimento e entrega.
PED-1283,Loggi,132.44,São Paulo,2025-07-08,2025-07-13,2025-07-12,Entregue,5,Ótimo custo-benefício!
PED-1284,Correios,25.7,Joinville,2025-07-08,2025-07-18,2025-07-12,Entregue,4,"Produto top, recomendo!"
PED-1285,Correios,16.78,São Paulo,2025-07-07,2025-07-15,2025-07-14,Entregue,4,Ótimo custo-benefício!
PED-1286,Jadlog,21.82,Belo Horizonte,2025-07-07,2025-07-12,2025-07-16,Entregue,1,Decepcionante do início ao fim.
PED-1287,FedEx,28.5,Belo Horizonte,2025-07-07,2025-07-14,,Cancelado,2,Frete caro e entrega lenta.
PED-1288,Jadlog,22.97,Goiânia,2025-07-09,2025-07-16,2025-07-15,Entregue,4,Excelente atendimento e entrega.
PED-1289,Jadlog,16.92,São Paulo,2025-07-10,2025-07-17,2025-07-13,Entregue,5,"Tudo certo, nota 10!"
PED-1290,Loggi,37.32,São Paulo,2025-07-10,2025-07-16,2025-07-18,Entregue,2,"Não recomendo, péssima experiência."
PED-1291,Jadlog,54.84,Porto Alegre,2025-07-10,2025-07-15,2025-07-12,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1292,Loggi,48.65,São Paulo,2025-07-11,2025-07-17,2025-07-13,Entregue,4,"Frete rápido, adorei!"
PED-1293,Jadlog,130.98,Curitiba,2025-07-11,2025-07-19,2025-07-14,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1294,Correios,19.51,São Paulo,2025-07-11,2025-07-17,2025-07-13,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1295,Jadlog,26.45,Salvador,2025-07-11,2025-07-18,2025-07-15,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1296,Jadlog,22.72,Campinas,2025-07-10,2025-07-18,2025-07-17,Entregue,5,Excelente atendimento e entrega.
PED-1297,Jadlog,22.83,São Paulo,2025-07-12,2025-07-22,2025-07-14,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1298,Loggi,97.25,Florianópolis,2025-07-12,2025-07-20,2025-07-22,Entregue,2,Decepcionante do início ao fim.
PED-1299,Jadlog,28.39,Fortaleza,2025-07-11,2025-07-21,2025-07-14,Entregue,5,"Muito bom, sem reclamações."
PED-1300,Jadlog,128.96,Recife,2025-07-12,2025-07-20,,Em Trânsito,4,Entrega no prazo e produto conforme descrito.
PED-1301,Jadlog,59.36,Recife,2025-07-11,2025-07-16,2025-07-16,Entregue,4,Excelente atendimento e entrega.
PED-1302,Jadlog,25.82,Joinville,2025-07-12,2025-07-17,2025-07-16,Entregue,4,"Tudo certo, nota 10!"
PED-1303,Loggi,139.69,Belo Horizonte,2025-07-12,2025-07-20,,Em Trânsito,3,"Produto ok, mas a entrega atrasou um pouco."
PED-1304,Correios,63.55,Porto Alegre,2025-07-13,2025-07-21,,Cancelado,1,Nunca mais compro aqui.
PED-1305,FedEx,59.41,Brasília,2025-07-12,2025-07-17,2025-07-15,Entregue,4,Parabéns pela agilidade!
PED-1306,FedEx,44.56,São Paulo,2025-07-12,2025-07-20,2025-07-20,Entregue,5,"Tudo certo, nota 10!"
PED-1307,Jadlog,15.57,Recife,2025-07-13,2025-07-18,,Em Trânsito,3,Esperava mais pela qualidade do produto.
PED-1308,Loggi,54.3,Florianópolis,2025-07-14,2025-07-19,2025-07-18,Entregue,4,Superou minhas expectativas!
PED-1309,FedEx,40.56,Goiânia,2025-07-14,2025-07-19,2025-07-16,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1310,FedEx,26.96,Porto Alegre,2025-07-14,2025-07-22,2025-07-20,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1311,Loggi,76.3,Recife,2025-07-14,2025-07-20,2025-07-18,Entregue,4,Ótimo custo-benefício!
PED-1312,Loggi,123.21,Brasília,2025-07-14,2025-07-21,2025-07-16,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1313,Correios,20.63,Rio de Janeiro,2025-07-16,2025-07-26,2025-07-26,Entregue,4,"Chegou antes do prazo, excelente!"
PED-1314,FedEx,28.29,Belém,2025-07-17,2025-07-25,2025-07-21,Entregue,5,"Muito bom, sem reclamações."
PED-1315,FedEx,28.91,São Paulo,2025-07-16,2025-07-26,2025-07-18,Entregue,5,Excelente atendimento e entrega.
PED-1316,Correios,15.03,Fortaleza,2025-07-17,2025-07-26,2025-07-30,Entregue,2,"Embalagem danificada, produto riscado."
PED-1317,Jadlog,50.07,Rio de Janeiro,2025-07-17,2025-07-25,,Em Trânsito,2,Nunca mais compro aqui.
PED-1318,Loggi,37.09,Belo Horizonte,2025-07-18,2025-07-24,2025-07-29,Entregue,1,"Produto extraviado, tive que abrir reclamação."
PED-1319,Loggi,50.27,Florianópolis,2025-07-19,2025-07-25,2025-07-21,Entregue,4,Parabéns pela agilidade!
PED-1320,Jadlog,15.36,Joinville,2025-07-18,2025-07-23,2025-07-22,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1321,Loggi,110.92,Joinville,2025-07-19,2025-07-28,2025-07-27,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1322,Loggi,54.75,Porto Alegre,2025-07-21,2025-07-29,,Cancelado,1,"Não recomendo, péssima experiência."
PED-1323,FedEx,18.75,Brasília,2025-07-21,2025-07-27,2025-07-24,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1324,Correios,34.99,São Paulo,2025-07-21,2025-07-28,2025-07-23,Entregue,5,Parabéns pela agilidade!
PED-1325,Correios,58.31,Salvador,2025-07-22,2025-07-30,,Cancelado,3,"Produto bom, mas o frete foi caro."
PED-1326,Correios,105.87,São Paulo,2025-07-21,2025-07-31,,Cancelado,1,Pior experiência de compra online.
PED-1327,Loggi,28.98,Rio de Janeiro,2025-07-22,2025-07-30,2025-07-29,Entregue,5,"Produto top, recomendo!"
PED-1328,Jadlog,62.12,Curitiba,2025-07-22,2025-07-30,2025-07-24,Entregue,5,"Tudo certo, nota 10!"
PED-1329,FedEx,79.93,Recife,2025-07-23,2025-07-30,2025-07-30,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1330,FedEx,111.9,Belém,2025-07-24,2025-08-03,2025-08-03,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1331,Correios,41.46,Manaus,2025-07-24,2025-07-31,2025-07-28,Entregue,5,Excelente atendimento e entrega.
PED-1332,Correios,25.08,Curitiba,2025-07-24,2025-08-01,2025-07-28,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1333,Correios,39.53,Belo Horizonte,2025-07-25,2025-07-30,,Em Trânsito,3,"Produto ok, mas a entrega atrasou um pouco."
PED-1334,Correios,23.25,Campinas,2025-07-24,2025-07-31,2025-08-02,Entregue,3,Esperava mais pela qualidade do produto.
PED-1335,Jadlog,136.35,Manaus,2025-07-24,2025-07-30,2025-07-29,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1336,Loggi,55.28,Rio de Janeiro,2025-07-25,2025-08-04,,Em Trânsito,2,"Veio errado, tive que devolver."
PED-1337,FedEx,80.12,Curitiba,2025-07-25,2025-07-30,2025-07-28,Entregue,4,"Frete rápido, adorei!"
PED-1338,Loggi,29.48,Belo Horizonte,2025-07-24,2025-07-30,,Em Trânsito,4,"Embalagem perfeita, produto intacto."
PED-1339,Loggi,108.74,Belo Horizonte,2025-07-24,2025-07-31,2025-07-30,Entregue,4,"Frete rápido, adorei!"
PED-1340,Correios,29.81,Rio de Janeiro,2025-07-25,2025-08-03,2025-08-03,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1341,Jadlog,46.59,Rio de Janeiro,2025-07-25,2025-07-31,2025-07-28,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1342,Correios,124.23,Joinville,2025-07-26,2025-08-02,2025-07-28,Entregue,5,Ótimo custo-benefício!
PED-1343,Correios,24.37,Curitiba,2025-07-26,2025-08-05,2025-08-01,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1344,Loggi,116.37,Joinville,2025-07-26,2025-08-01,2025-07-31,Entregue,4,"Tudo certo, nota 10!"
PED-1345,Correios,34.76,Campinas,2025-07-27,2025-08-05,2025-08-03,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1346,Correios,18.95,Belo Horizonte,2025-07-27,2025-08-01,2025-07-30,Entregue,4,"Frete rápido, adorei!"
PED-1347,Loggi,21.41,Porto Alegre,2025-07-28,2025-08-07,,Extraviado,1,"Suporte ruim, difícil contato."
PED-1348,Correios,20.83,Curitiba,2025-07-28,2025-08-03,2025-08-04,Entregue,2,Pior experiência de compra online.
PED-1349,FedEx,56.3,Curitiba,2025-07-29,2025-08-08,2025-08-05,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1350,FedEx,17.45,Curitiba,2025-07-28,2025-08-03,2025-07-30,Entregue,5,"Tudo certo, nota 10!"
PED-1351,Loggi,55.59,São Paulo,2025-07-28,2025-08-06,2025-08-04,Entregue,4,"Produto original, vendedor confiável."
PED-1352,Loggi,29.65,Rio de Janeiro,2025-07-28,2025-08-06,,Cancelado,3,"Produto ok, mas a entrega atrasou um pouco."
PED-1353,Jadlog,18.47,Belo Horizonte,2025-07-29,2025-08-05,2025-08-05,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1354,Loggi,47.23,Florianópolis,2025-07-30,2025-08-04,2025-08-02,Entregue,4,"Embalagem perfeita, produto intacto."
PED-1355,Correios,28.71,Curitiba,2025-07-31,2025-08-10,,Cancelado,3,"Razoável, poderia ser melhor."
PED-1356,Jadlog,136.12,Belo Horizonte,2025-07-30,2025-08-09,2025-08-06,Entregue,5,"Produto original, vendedor confiável."
PED-1357,FedEx,25.92,Rio de Janeiro,2025-07-31,2025-08-07,2025-08-06,Entregue,5,"Produto top, recomendo!"
PED-1358,Correios,85.35,Florianópolis,2025-07-31,2025-08-07,2025-08-02,Entregue,5,"Muito bom, sem reclamações."
PED-1359,Jadlog,126.57,Florianópolis,2025-08-01,2025-08-06,,Em Trânsito,4,"Produto original, vendedor confiável."
PED-1360,FedEx,25.43,Joinville,2025-08-01,2025-08-08,,Em Trânsito,4,Excelente atendimento e entrega.
PED-1361,Correios,23.51,Curitiba,2025-08-01,2025-08-06,,Em Trânsito,3,"Chegou com pequeno atraso, mas o produto é bom."
PED-1362,FedEx,21.61,Joinville,2025-08-01,2025-08-07,2025-08-12,Entregue,1,Muito atraso na entrega.
PED-1363,Jadlog,24.27,São Paulo,2025-07-31,2025-08-10,,Em Trânsito,3,"Produto bom, mas o frete foi caro."
PED-1364,FedEx,24.69,Florianópolis,2025-08-01,2025-08-09,2025-08-04,Entregue,5,"Frete rápido, adorei!"
PED-1365,Jadlog,94.63,São Paulo,2025-07-31,2025-08-08,,Cancelado,1,Pior experiência de compra online.
PED-1366,Loggi,108.68,São Paulo,2025-08-02,2025-08-12,2025-08-12,Entregue,4,Ótimo custo-benefício!
PED-1367,Correios,40.3,Belo Horizonte,2025-08-02,2025-08-08,,Em Trânsito,3,"Razoável, poderia ser melhor."
PED-1368,FedEx,45.17,Belo Horizonte,2025-08-02,2025-08-08,,Extraviado,1,Atrasou e a caixa veio amassada.
PED-1369,Correios,30.91,Joinville,2025-08-03,2025-08-10,,Extraviado,2,Nunca mais compro aqui.
PED-1370,Loggi,23.7,Belém,2025-08-03,2025-08-08,2025-08-10,Entregue,3,Embalagem poderia ser melhor.
PED-1371,Correios,21.22,São Paulo,2025-08-03,2025-08-08,,Cancelado,3,Entrega demorou mais que o previsto.
PED-1372,Loggi,23.97,São Paulo,2025-08-04,2025-08-11,2025-08-16,Entregue,3,Esperava mais pela qualidade do produto.
PED-1373,Loggi,39.65,Florianópolis,2025-08-05,2025-08-13,2025-08-10,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1374,Correios,55.62,Campinas,2025-08-04,2025-08-13,2025-08-17,Entregue,2,"Embalagem danificada, produto riscado."
PED-1375,Correios,124.13,São Paulo,2025-08-06,2025-08-14,,Em Trânsito,3,"Nada de especial, cumpriu o básico."
PED-1376,Jadlog,27.96,Campinas,2025-08-06,2025-08-12,2025-08-11,Entregue,4,"Produto original, vendedor confiável."
PED-1377,Correios,24.04,Joinville,2025-08-07,2025-08-15,,Cancelado,1,"Não recomendo, péssima experiência."
PED-1378,FedEx,28.3,Curitiba,2025-08-06,2025-08-14,2025-08-13,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1379,Correios,66.23,Florianópolis,2025-08-08,2025-08-14,2025-08-10,Entregue,4,Excelente atendimento e entrega.
PED-1380,Loggi,15.43,Curitiba,2025-08-09,2025-08-18,,Cancelado,2,Atendimento ao cliente inexistente.
PED-1381,FedEx,45.45,São Paulo,2025-08-09,2025-08-14,2025-08-11,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1382,Correios,53.38,Joinville,2025-08-08,2025-08-14,,Em Trânsito,2,Produto não era o que esperava.
PED-1383,Correios,32.84,Florianópolis,2025-08-10,2025-08-20,2025-08-19,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1384,FedEx,120.47,Campinas,2025-08-09,2025-08-18,2025-08-17,Entregue,5,Excelente atendimento e entrega.
PED-1385,FedEx,19.82,Joinville,2025-08-10,2025-08-18,2025-08-17,Entregue,5,Superou minhas expectativas!
PED-1386,Loggi,91.93,Joinville,2025-08-10,2025-08-18,2025-08-16,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1387,FedEx,68.55,Belo Horizonte,2025-08-09,2025-08-17,2025-08-16,Entregue,4,Excelente atendimento e entrega.
PED-1388,Correios,69.56,Florianópolis,2025-08-11,2025-08-19,,Em Trânsito,4,"Produto de qualidade, entrega pontual."
PED-1389,FedEx,53.15,Florianópolis,2025-08-11,2025-08-17,2025-08-16,Entregue,5,Ótimo custo-benefício!
PED-1390,Correios,40.88,Brasília,2025-08-10,2025-08-16,2025-08-21,Entregue,1,Atrasou e a caixa veio amassada.
PED-1391,Correios,17.15,São Paulo,2025-08-11,2025-08-19,,Em Trânsito,3,Entrega demorou mais que o previsto.
PED-1392,Loggi,121.96,Brasília,2025-08-12,2025-08-20,2025-08-19,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1393,Jadlog,39.08,Goiânia,2025-08-11,2025-08-16,2025-08-14,Entregue,4,"Produto top, recomendo!"
PED-1394,Loggi,57.85,Belo Horizonte,2025-08-12,2025-08-22,2025-08-17,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1395,Jadlog,111.12,Curitiba,2025-08-11,2025-08-21,2025-08-20,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1396,Correios,84.2,São Paulo,2025-08-12,2025-08-18,2025-08-18,Entregue,4,"Produto top, recomendo!"
PED-1397,Loggi,135.15,São Paulo,2025-08-13,2025-08-20,2025-08-19,Entregue,4,"Embalagem perfeita, produto intacto."
PED-1398,Loggi,75.82,Brasília,2025-08-13,2025-08-18,,Em Trânsito,4,Superou minhas expectativas!
PED-1399,Jadlog,88.14,Curitiba,2025-08-13,2025-08-20,2025-08-17,Entregue,4,Parabéns pela agilidade!
PED-1400,Jadlog,24.35,São Paulo,2025-08-13,2025-08-19,,Cancelado,3,"Razoável, poderia ser melhor."
PED-1401,Correios,19.06,Campinas,2025-08-13,2025-08-20,2025-08-17,Entregue,5,Excelente atendimento e entrega.
PED-1402,Correios,49.65,Joinville,2025-08-12,2025-08-18,2025-08-14,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1403,Jadlog,31.38,Campinas,2025-08-13,2025-08-18,,Em Trânsito,4,"Frete rápido, adorei!"
PED-1404,Correios,65.26,São Paulo,2025-08-13,2025-08-23,2025-08-17,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1405,Loggi,33.44,São Paulo,2025-08-14,2025-08-23,2025-08-17,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1406,FedEx,88.0,Rio de Janeiro,2025-08-13,2025-08-23,,Cancelado,2,"Suporte ruim, difícil contato."
PED-1407,FedEx,21.14,São Paulo,2025-08-13,2025-08-18,2025-08-18,Entregue,5,Excelente atendimento e entrega.
PED-1408,Loggi,57.25,Manaus,2025-08-13,2025-08-23,2025-08-16,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1409,Jadlog,90.66,Belo Horizonte,2025-08-13,2025-08-18,2025-08-17,Entregue,4,Ótimo custo-benefício!
PED-1410,Correios,115.53,Belo Horizonte,2025-08-13,2025-08-20,2025-08-21,Entregue,3,"Produto ok, mas a entrega atrasou um pouco."
PED-1411,Jadlog,83.0,Porto Alegre,2025-08-15,2025-08-20,2025-08-17,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1412,Correios,48.1,Rio de Janeiro,2025-08-14,2025-08-19,2025-08-18,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1413,Loggi,59.25,Belo Horizonte,2025-08-15,2025-08-23,2025-08-23,Entregue,4,"Produto original, vendedor confiável."
PED-1414,Jadlog,29.7,Belo Horizonte,2025-08-16,2025-08-23,2025-08-19,Entregue,4,"Produto original, vendedor confiável."
PED-1415,Correios,21.76,Joinville,2025-08-18,2025-08-26,,Extraviado,1,Nunca mais compro aqui.
PED-1416,Loggi,46.45,São Paulo,2025-08-17,2025-08-25,2025-08-29,Entregue,1,Decepcionante do início ao fim.
PED-1417,FedEx,116.83,Fortaleza,2025-08-19,2025-08-29,2025-08-27,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1418,Loggi,29.82,São Paulo,2025-08-18,2025-08-27,2025-08-20,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1419,Jadlog,111.16,Joinville,2025-08-20,2025-08-26,,Cancelado,1,"Veio errado, tive que devolver."
PED-1420,Jadlog,133.19,Florianópolis,2025-08-19,2025-08-26,,Em Trânsito,4,"Embalagem perfeita, produto intacto."
PED-1421,FedEx,16.8,Rio de Janeiro,2025-08-19,2025-08-29,2025-08-27,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1422,FedEx,21.67,Rio de Janeiro,2025-08-19,2025-08-26,2025-08-25,Entregue,4,Superou minhas expectativas!
PED-1423,Loggi,29.84,Belo Horizonte,2025-08-19,2025-08-29,2025-08-22,Entregue,4,Ótimo custo-benefício!
PED-1424,Jadlog,113.54,Fortaleza,2025-08-19,2025-08-28,2025-08-26,Entregue,4,"Produto original, vendedor confiável."
PED-1425,Loggi,29.73,São Paulo,2025-08-21,2025-08-26,2025-08-26,Entregue,4,"Muito bom, sem reclamações."
PED-1426,Loggi,74.22,Porto Alegre,2025-08-20,2025-08-29,2025-08-25,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1427,Correios,28.37,Goiânia,2025-08-20,2025-08-26,2025-08-23,Entregue,4,"Muito bom, sem reclamações."
PED-1428,Loggi,134.57,Joinville,2025-08-21,2025-08-30,2025-09-03,Entregue,3,Embalagem poderia ser melhor.
PED-1429,Loggi,26.63,Joinville,2025-08-22,2025-08-30,2025-08-25,Entregue,5,"Chegou antes do prazo, excelente!"
